"STRUCTURE_NUMBER_008","COUNTY_CODE_003_L","ROUTE_PREFIX_005B_L","MAINTENANCE_021_L","YEAR_BUILT_027","ADT_029","STRUCTURE_KIND_043A_L","STRUCTURAL_EVAL_067","BRIDGE_IMP_COST_094"
"A080040L4MUNNBI","Hampshire","City street","Town or Township Highway Agency",1973,4784,"Steel",5,623000
"A0801384XMUNNBI","Hampshire","City street","Town or Township Highway Agency",2007,6071,"Prestressed concrete",6,498000
"A0802057DMUNNBI","Hampshire","City street","Town or Township Highway Agency",2008,1900,"Prestressed concrete",7,650000
"A080250VADOTNBI","Hampshire","State highway","State Highway Agency",1958,10921,"Concrete",6,209000
"A080260VBDOTNBI","Hampshire","State highway","State Highway Agency",1958,13876,"Concrete",6,1188000
"A080270VCDOTNBI","Hampshire","State highway","State Highway Agency",1958,13876,"Concrete",6,388000
"A080280L3MUNNBI","Hampshire","City street","Town or Township Highway Agency",1958,10474,"Concrete",6,891000
"A080290PBMUNNBI","Hampshire","City street","Town or Township Highway Agency",1968,259,"Steel",5,406000
"B050060PEMUNNBI","Hampshire","City street","Town or Township Highway Agency",1940,1164,"Steel",4,1530000
"B050070L6MUNNBI","Hampshire","State highway","Town or Township Highway Agency",1955,9828,"Prestressed concrete",7,434000
"B050090PDMUNNBI","Hampshire","City street","Town or Township Highway Agency",1939,2716,"Steel",5,230000
"B050160VMMUNNBI","Hampshire","State highway","Town or Township Highway Agency",1956,4650,"Prestressed concrete",6,74000
"B0502790DDOTNBI","Hampshire","State highway","State Highway Agency",2007,6315,"Prestressed concrete",7,281000
"B050340PGMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,300,"Prestressed concrete",6,973000
"C120010JXDOTNBI","Hampshire","State highway","State Highway Agency",1931,2716,"Steel",6,1103000
"C120020G9MUNNBI","Hampshire","City street","Town or Township Highway Agency",1960,905,"Prestressed concrete",5,264000
"C120045DMMUNNBI","Hampshire","City street","Town or Township Highway Agency",1979,388,"Steel",6,324000
"C12009BVMMUNNBI","Hampshire","City street","Town or Township Highway Agency",2019,767,"Prestressed concrete",8,0
"C120120K0DOTNBI","Hampshire","State highway","State Highway Agency",1928,2069,"Concrete",6,1228000
"C120130GBMUNNBI","Hampshire","City street","Town or Township Highway Agency",1954,388,"Steel",5,329000
"C120150GCMUNNBI","Hampshire","Other","Town or Township Highway Agency",1989,517,"Concrete",6,253000
