id,color,nerd
Spike Spiegal,Orange,TRUE
Doreamon,purple,FALSE
Sherlock Holmes,green,TRUE
Tiana,Purple,FALSE
Crush,blue,TRUE
Thor,Yellow,FALSE
Rhys,Purple,TRUE
Buffy,Red,TRUE
Sasha Braus,Pink,TRUE
Catra,Green,TRUE
Pikachu,Blue,TRUE
My Melody,Green,TRUE
Claire Fraser,Purple,TRUE
Shinchan,black,FALSE
Kakashi,Green,TRUE
berserk gyrfalcon,NA,NA
apidologic parrot,NA,NA
contradictive flies,NA,NA
knavish waterthrush,NA,NA
misanthropic harvestmen,NA,NA
essential lacewing,NA,NA
feisty koodoo,NA,NA
explicable bigmouthbass,NA,NA
unaccepted dunnart,NA,NA
explicable macropod,NA,NA
rounded alaskanmalamute,NA,NA
unwomanish cottontail,NA,NA
collective komododragon,NA,NA
semiintellectual noctule,NA,NA
obsessive arrowcrab,NA,NA
anticlimactic iridescentshark,NA,NA
antinihilistic germanspaniel,NA,NA
defunctive duiker,NA,NA
agrostographic ozarkbigearedbat,NA,NA
molecular bluegill,NA,NA
seasick canary,NA,NA
optometric ermine,NA,NA
bleached human,NA,NA
abyssal urubu,NA,NA
webby leafhopper,NA,NA
speedless iberianbarbel,NA,NA
enrapt nilgai,NA,NA
vulpine phoebe,NA,NA
spotless annelida,NA,NA
criticisable deviltasmanian,NA,NA
carbon milkweedbug,NA,NA
unextraordinary anemoneshrimp,NA,NA
convectional nene,NA,NA
blithe aztecant,NA,NA
seasick paddlefish,NA,NA
capitalist bandicoot,NA,NA
weak coqui,NA,NA
homeopathic americanblackvulture,NA,NA
convictible turtledove,NA,NA
interuniversity hog,NA,NA
extraterrestrial leveret,NA,NA
corporatist megalosaurus,NA,NA
dewyeyed lice,NA,NA
